citation_key,entry_type,bib_doi,api_doi,status,http_status,title_similarity,author_overlap,bib_title,api_title,bib_year,api_year,candidate_doi,candidate_title,candidate_title_similarity,search_http_status,source,registry_http_status,registry_source,crossref_search_http_status,crossref_search_source,populated_fields,notes
Hoerl1970,article,10.1080/00401706.1970.10488634,10.1080/00401706.1970.10488634,verified,200,1.0000,1.0000,Ridge Regression: Biased Estimation for Nonorthogonal Problems,Ridge Regression: Biased Estimation for Nonorthogonal Problems,1970,1970,,,,,cache,,,,,,
Breiman2001,article,10.1023/a:1010933404324,10.1023/a:1010933404324,verified,200,1.0000,1.0000,Random Forests,Random forests,2001,2001,,,,,cache,,,,,,
Friedman2001,article,10.1214/aos/1013203451,10.1214/aos/1013203451,verified,200,1.0000,1.0000,Greedy Function Approximation: A Gradient Boosting Machine,Greedy function approximation: A gradient boosting machine,2001,2001,,,,,cache,,,,,,
Chen2016,inproceedings,10.1145/2939672.2939785,10.1145/2939672.2939785,verified,200,1.0000,1.0000,{XGBoost}: A Scalable Tree Boosting System,XGBoost: A scalable tree boosting system,2016,2016,,,,,cache,,,,,,
Ke2017,inproceedings,,,missing_doi_candidate_only,0,0.0000,0.0000,{LightGBM}: A Highly Efficient Gradient Boosting Decision Tree,,2017,,10.1109/tpds.2019.2920131,Exploiting GPUs for Efficient Gradient Boosting Decision Tree Training,0.7287,200,,,,200,crossref-search-cache,,
Roberts2017,article,10.1111/ecog.02881,10.1111/ecog.02881,verified,200,1.0000,0.9286,"Cross-Validation Strategies for Data with Temporal, Spatial, Hierarchical, or Phylogenetic Structure","Cross-validation strategies for data with temporal, spatial, hierarchical, or phylogenetic structure",2017,2017,,,,,cache,,,,,,
Lundberg2020,article,10.1038/s42256-019-0138-9,10.1038/s42256-019-0138-9,verified,200,1.0000,1.0000,From Local Explanations to Global Understanding with Explainable {AI} for Trees,From local explanations to global understanding with explainable AI for trees,2020,2020,,,,,cache,,,,,,
Arrieta2020,article,10.1016/j.inffus.2019.12.012,10.1016/j.inffus.2019.12.012,verified,200,1.0000,0.6667,"Explainable Artificial Intelligence {(XAI)}: Concepts, Taxonomies, Opportunities and Challenges toward Responsible {AI}","Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI",2020,2020,,,,,cache,,,,,,
Abdar2021,article,10.1016/j.inffus.2021.05.008,10.1016/j.inffus.2021.05.008,verified,200,1.0000,1.0000,"A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges","A review of uncertainty quantification in deep learning: Techniques, applications and challenges",2021,2021,,,,,cache,,,,,,
Angelopoulos2023,article,10.1561/2200000101,10.1561/2200000101,verified_by_crossref,404,1.0000,1.0000,Conformal Prediction: A Gentle Introduction,Conformal Prediction: A Gentle Introduction,2023,2023,,,,,crossref-cache,200,crossref-cache,,,,
JCGM2008,manual,10.59161/jcgm100-2008e,10.59161/jcgm100-2008e,verified_by_crossref,404,1.0000,0.0000,Evaluation of Measurement Data---Guide to the Expression of Uncertainty in Measurement,Evaluation of measurement data — Guide to the expression of uncertainty in measurement,2008,2008,,,,,crossref-cache,200,crossref-cache,,,,
Chen2025PrecisionGrinding,article,10.1016/j.cirpj.2025.02.004,10.1016/j.cirpj.2025.02.004,verified,200,1.0000,1.0000,Predictive modelling of surface roughness in precision grinding based on hybrid algorithm,Predictive modelling of surface roughness in precision grinding based on hybrid algorithm,2025,2025,,,,,cache,,,,,,
Wu2025ECMInterpretability,article,10.1016/j.engappai.2025.111807,10.1016/j.engappai.2025.111807,verified,200,1.0000,1.0000,Data-driven models with physical interpretability for real-time cavity profile prediction in electrochemical machining processes,Data-driven models with physical interpretability for real-time cavity profile prediction in electrochemical machining processes,2025,2025,,,,,cache,,,,,,
Ge2025BLSVSG,article,10.1016/j.compositesb.2025.112701,10.1016/j.compositesb.2025.112701,verified,200,1.0000,1.0000,Tackling data scarcity in machine learning-based CFRP drilling performance prediction through a broad learning system with virtual sample generation (BLS-VSG),Tackling data scarcity in machine learning-based CFRP drilling performance prediction through a broad learning system with virtual sample generation (BLS-VSG),2025,2025,,,,,cache,,,,,,
Shi2025FlexibleFixture,article,10.3390/jmmp9050139,10.3390/jmmp9050139,verified,200,1.0000,1.0000,Design and Manufacture of a Flexible Adaptive Fixture for Precision Grinding of Thin-Walled Bearing Rings,Design and Manufacture of a Flexible Adaptive Fixture for Precision Grinding of Thin-Walled Bearing Rings,2025,2025,,,,,cache,,,,,,
Wu2022ECMProfile,article,10.1016/j.procir.2022.09.192,10.1016/j.procir.2022.09.192,verified,200,1.0000,1.0000,Profile prediction in ECM using machine learning,Profile prediction in ECM using machine learning,2022,2022,,,,,cache,,,,,,
Wu2025LPBFAE,article,10.1016/j.procir.2025.02.091,10.1016/j.procir.2025.02.091,verified,200,1.0000,1.0000,Data-Driven Approach to Identify Acoustic Emission Source Motion and Positioning Effects in Laser Powder Bed Fusion with Frequency Analysis,Data-Driven Approach to Identify Acoustic Emission Source Motion and Positioning Effects in Laser Powder Bed Fusion with Frequency Analysis,2025,2025,,,,,cache,,,,,,
